image,label,elbow_right,elbow_left,shoulder_right,shoulder_left,hip_right,hip_left,knee_right,knee_left
File1.png,Adho_Mukha_Svanasana,173.24,174.43,167.73,168.53,50.13,48.93,177.98,176.24
File10.png,Adho_Mukha_Svanasana,163.55,160.02,172.25,174.87,54.44,24.29,163.82,176.89
File11.png,Adho_Mukha_Svanasana,174.74,173.89,175.17,165.71,174.18,68.32,168.31,177.84
File12.png,Adho_Mukha_Svanasana,90.44,171.59,60.42,166.27,46.18,56.76,168.71,178.75
File13.png,Adho_Mukha_Svanasana,131.23,151.08,151.72,159.0,43.98,44.36,176.27,177.78
File14.png,Adho_Mukha_Svanasana,167.75,167.02,164.84,162.33,63.64,65.7,178.4,179.36
File15.png,Adho_Mukha_Svanasana,160.08,161.24,178.05,179.15,54.87,53.73,178.08,179.19
File16.png,Adho_Mukha_Svanasana,157.59,156.82,171.92,172.75,57.86,60.04,172.7,176.47
File17.png,Adho_Mukha_Svanasana,165.01,164.93,171.32,170.07,49.54,52.46,176.45,177.27
File18.png,Adho_Mukha_Svanasana,160.29,161.45,163.31,156.83,176.09,80.61,177.45,175.72
File19.png,Adho_Mukha_Svanasana,170.84,171.49,178.22,175.71,57.18,57.58,180.0,172.27
File2.png,Adho_Mukha_Svanasana,173.55,168.0,171.86,174.75,52.21,44.63,176.46,179.49
File20.png,Adho_Mukha_Svanasana,161.75,168.06,175.47,170.38,160.12,78.49,163.12,173.82
File21.png,Adho_Mukha_Svanasana,171.98,163.63,165.14,162.27,57.4,57.35,175.31,177.39
File22.png,Adho_Mukha_Svanasana,169.46,173.09,176.15,176.23,53.66,55.23,177.6,175.04
File23.png,Adho_Mukha_Svanasana,162.93,159.42,155.18,154.37,78.26,78.51,179.73,178.22
File24.png,Adho_Mukha_Svanasana,165.51,169.84,171.91,168.24,26.05,37.1,175.48,175.05
File25.jpg,Adho_Mukha_Svanasana,149.85,153.61,174.33,178.82,63.92,63.05,175.68,170.14
File26.png,Adho_Mukha_Svanasana,153.48,156.84,176.53,176.04,76.76,77.6,178.04,179.8
File27.png,Adho_Mukha_Svanasana,166.45,168.04,172.2,174.01,56.02,56.32,178.86,177.3
File28.png,Adho_Mukha_Svanasana,171.34,170.31,176.05,179.55,56.18,57.96,175.94,172.34
File29.png,Adho_Mukha_Svanasana,161.62,163.14,155.33,156.41,91.68,91.32,171.65,169.57
File3.png,Adho_Mukha_Svanasana,175.32,173.55,174.56,166.04,174.29,72.12,167.78,178.77
File30.png,Adho_Mukha_Svanasana,156.11,158.31,175.03,168.43,54.53,62.32,164.32,172.41
File31.png,Adho_Mukha_Svanasana,164.65,167.61,169.07,170.5,35.04,42.05,175.06,163.05
File32.png,Adho_Mukha_Svanasana,172.03,171.89,171.94,160.47,69.17,67.88,178.5,178.89
File33.png,Adho_Mukha_Svanasana,160.7,160.59,176.67,176.18,58.36,57.36,175.77,174.88
File34.png,Adho_Mukha_Svanasana,160.08,161.24,178.05,179.15,54.87,53.73,178.08,179.19
File35.png,Adho_Mukha_Svanasana,166.21,164.72,176.63,174.4,47.18,47.43,179.91,179.93
File36.png,Adho_Mukha_Svanasana,169.5,173.26,166.41,167.83,60.59,61.81,177.27,178.82
File37.png,Adho_Mukha_Svanasana,162.17,157.94,172.43,176.55,40.18,41.38,178.4,177.3
File38.png,Adho_Mukha_Svanasana,168.0,168.48,177.06,171.94,57.81,60.1,178.59,174.65
File39.png,Adho_Mukha_Svanasana,166.99,161.55,160.63,155.88,73.67,78.37,172.8,165.86
File4.png,Adho_Mukha_Svanasana,168.53,172.66,176.44,173.71,80.57,85.82,165.34,173.51
File40.png,Adho_Mukha_Svanasana,177.45,171.81,174.44,177.19,55.28,58.55,178.9,178.94
File42.png,Adho_Mukha_Svanasana,179.65,173.86,174.6,171.19,64.61,63.82,175.15,177.08
File43.png,Adho_Mukha_Svanasana,177.24,175.41,173.19,170.8,64.1,64.12,173.32,175.24
File44.png,Adho_Mukha_Svanasana,174.61,176.15,178.23,177.07,48.68,51.68,172.37,174.26
File45.png,Adho_Mukha_Svanasana,156.82,168.12,179.16,177.75,63.13,64.13,177.38,176.79
File46.png,Adho_Mukha_Svanasana,173.42,172.49,178.6,174.44,45.39,44.69,156.77,155.33
File47.png,Adho_Mukha_Svanasana,170.56,165.04,171.38,176.86,168.79,61.59,168.32,172.76
File48.png,Adho_Mukha_Svanasana,166.0,172.83,177.77,178.3,56.75,57.73,177.9,177.52
File49.png,Adho_Mukha_Svanasana,163.07,165.01,178.78,177.69,42.94,44.32,161.28,162.14
File5.png,Adho_Mukha_Svanasana,165.11,168.99,176.66,175.85,45.37,44.36,177.55,178.13
