imagem,classe,ang_1,ang_2,ang_3,ang_4,ang_5,ang_6,ang_7,ang_8
96.jpg,Fish_Pose_or_Matsyasana_,115.45,154.82,44.06,75.62,165.79,149.81,146.3,173.53
183.jpg,Fish_Pose_or_Matsyasana_,146.91,149.29,26.29,15.03,169.7,156.19,170.59,176.08
545.jpg,Fish_Pose_or_Matsyasana_,139.83,153.56,11.61,68.21,158.47,128.57,149.65,154.23
454.jpg,Fish_Pose_or_Matsyasana_,153.88,158.3,17.78,26.77,159.2,124.35,59.85,32.46
221.jpg,Fish_Pose_or_Matsyasana_,129.12,137.42,16.46,34.47,167.12,108.31,107.82,58.28
357.jpg,Fish_Pose_or_Matsyasana_,135.72,120.96,28.22,23.76,165.14,160.43,158.85,169.98
200.jpg,Fish_Pose_or_Matsyasana_,145.15,150.19,17.73,18.5,111.14,90.74,150.61,98.7
241.jpg,Fish_Pose_or_Matsyasana_,134.21,121.12,52.02,20.59,167.56,170.65,175.23,162.78
390.jpg,Fish_Pose_or_Matsyasana_,163.19,125.85,90.52,67.89,177.58,170.95,174.06,174.46
255.jpg,Fish_Pose_or_Matsyasana_,150.78,121.65,45.12,48.54,164.57,127.73,163.53,164.81
331.jpg,Fish_Pose_or_Matsyasana_,146.51,133.44,3.37,29.19,168.11,126.74,61.12,51.16
31.jpg,Fish_Pose_or_Matsyasana_,141.5,161.12,38.18,6.52,170.0,171.88,173.83,167.84
56.jpg,Fish_Pose_or_Matsyasana_,118.69,113.22,38.39,46.07,158.04,145.69,157.2,169.56
361.jpg,Fish_Pose_or_Matsyasana_,133.04,135.0,31.47,59.37,162.75,134.91,158.73,163.14
389.jpg,Fish_Pose_or_Matsyasana_,145.31,129.96,48.62,53.24,170.07,171.04,149.49,164.68
529.jpg,Fish_Pose_or_Matsyasana_,135.27,165.47,51.61,15.75,137.8,143.86,98.5,154.11
189.jpg,Fish_Pose_or_Matsyasana_,138.31,128.1,38.89,37.0,166.01,128.85,166.12,165.99
366.jpg,Fish_Pose_or_Matsyasana_,116.38,123.71,45.17,13.63,116.55,149.77,42.97,60.43
5.jpg,Fish_Pose_or_Matsyasana_,128.21,113.07,48.8,54.08,173.22,153.37,155.76,170.29
52.jpg,Fish_Pose_or_Matsyasana_,116.35,111.98,48.4,46.68,163.62,162.1,175.44,154.67
476.jpg,Fish_Pose_or_Matsyasana_,157.77,125.19,141.63,125.72,144.64,168.95,166.53,143.94
79.jpg,Fish_Pose_or_Matsyasana_,85.53,91.63,36.69,36.86,79.52,75.53,23.89,28.0
108.jpg,Fish_Pose_or_Matsyasana_,105.28,111.8,49.52,77.66,168.05,141.38,161.99,164.26
294.jpg,Fish_Pose_or_Matsyasana_,85.84,72.36,8.95,12.93,128.8,134.92,35.33,74.67
202.jpg,Fish_Pose_or_Matsyasana_,144.93,143.86,31.86,17.04,167.17,173.11,170.22,167.47
264.jpg,Fish_Pose_or_Matsyasana_,80.23,75.61,51.04,68.18,165.35,158.47,161.69,155.74
152.jpg,Fish_Pose_or_Matsyasana_,140.18,158.35,39.67,76.25,69.38,107.1,122.55,115.3
114.jpg,Fish_Pose_or_Matsyasana_,141.61,164.49,37.53,26.7,161.78,175.31,121.42,105.15
97.jpg,Fish_Pose_or_Matsyasana_,99.53,136.6,50.34,25.2,131.39,158.53,41.02,69.99
242.jpg,Fish_Pose_or_Matsyasana_,160.27,151.13,38.66,38.22,157.02,156.99,157.31,152.76
192.jpg,Fish_Pose_or_Matsyasana_,138.08,130.16,12.65,54.7,140.56,100.27,75.98,40.4
136.jpg,Fish_Pose_or_Matsyasana_,147.46,134.75,66.78,48.09,73.38,95.78,152.26,177.0
473.jpg,Fish_Pose_or_Matsyasana_,82.28,107.63,139.42,152.4,90.48,89.57,85.59,133.33
293.jpg,Fish_Pose_or_Matsyasana_,160.89,139.55,10.74,16.65,159.7,135.55,83.82,59.79
413.jpg,Fish_Pose_or_Matsyasana_,99.24,150.35,55.02,25.45,136.46,116.82,81.09,46.2
103.jpg,Fish_Pose_or_Matsyasana_,104.64,117.53,65.17,49.18,169.01,170.1,163.05,176.1
190.jpg,Fish_Pose_or_Matsyasana_,159.63,140.09,24.64,51.79,173.76,167.97,158.71,170.44
584.jpg,Fish_Pose_or_Matsyasana_,93.84,70.99,48.83,49.67,154.31,130.03,178.49,174.65
157.jpg,Fish_Pose_or_Matsyasana_,74.04,151.11,77.97,167.06,160.12,154.35,179.03,178.1
295.jpg,Fish_Pose_or_Matsyasana_,104.49,159.19,45.41,89.93,128.88,116.82,145.97,81.28
81.jpg,Fish_Pose_or_Matsyasana_,137.22,141.24,39.17,37.36,168.89,156.92,157.39,169.88
181.jpg,Fish_Pose_or_Matsyasana_,82.08,168.63,80.01,9.32,171.72,166.85,172.84,172.32
528.jpg,Fish_Pose_or_Matsyasana_,140.08,129.63,20.81,34.53,157.26,175.26,170.6,160.53
461.jpg,Fish_Pose_or_Matsyasana_,134.72,153.72,94.54,47.21,137.91,156.51,138.47,166.75
84.jpg,Fish_Pose_or_Matsyasana_,126.61,96.3,24.52,74.59,124.18,98.89,58.63,44.8
442.jpg,Fish_Pose_or_Matsyasana_,117.96,154.4,15.55,81.67,161.89,136.77,162.88,164.27
16.jpg,Fish_Pose_or_Matsyasana_,129.58,121.33,38.25,36.81,170.23,159.84,158.78,151.69
File31.png,Dolphin_Pose_or_Ardha_Pincha_Mayurasana_,82.97,80.59,147.75,142.1,57.39,54.54,177.54,162.75
